Inverses and integers in base 5dot9
(1/1)base 5dot9   00001.000000000000000000001!6, diff = 0
(1/2)base 5dot9   00000.2533204152435044222105!6, diff = 0
(1/3)base 5dot9   00000.1540511222021550544122!6, diff = 0
(1/4)base 5dot9   00000.1244154252542201321422!6, diff = 0
(1/5)base 5dot9   00000.1102052550444350122541!6, diff = 0
(1/6)base 5dot9   00000.054414423252340351454!6, diff = 0
(1/7)base 5dot9   00000.0454205211335345310143!6, diff = 0
(1/8)base 5dot9   00000.0420230212220515440232!6, diff = 0
(1/9)base 5dot9   00000.03504100435021021314313!6, diff = 0
(1/10)base 5dot9  00000.03245320135131323334433!6, diff = 0
(1/11)base 5dot9  00000.03054142001425304123043!6, diff = 0
(1/12)base 5dot9  00000.02515020544323022113133!6, diff = 0
(1/13)base 5dot9  00000.02355125300014051302103!6, diff = 0
(1/14)base 5dot9  00000.02250433410414253315503!6, diff = 0
(1/15)base 5dot9  00000.02151312130332332325103!6, diff = 0
(1/16)base 5dot9  00000.02101130450310255135153!6, diff = 0
(1/17)base 5dot9  00000.02013511534233232334431!6, diff = 0
(1/18)base 5dot9  00000.01530014332452030231505!6, diff = 0
(1/19)base 5dot9  00000.01452052415302550341101!6, diff = 0
(1/20)base 5dot9  00000.01421012535450352240041!6, diff = 0
(1/21)base 5dot9  00000.01351043154131423411125!6, diff = 0
(1/22)base 5dot9  00000.01323203334225214352231!6, diff = 0
(1/23)base 5dot9  00000.01301005400120345304005!6, diff = 0
(1/24)base 5dot9  00000.01235103224011044154331!6, diff = 0
(1/25)base 5dot9  00000.01215022413335130454531!6, diff = 0
(1/26)base 5dot9  00000.01155135213053315234311!6, diff = 0
(1/27)base 5dot9  00000.01140551210545245203311!6, diff = 0
(1/28)base 5dot9  00000.01123200232130532042131!6, diff = 0
(1/29)base 5dot9  00000.01110232202442505110501!6, diff = 0
(1/30)base 5dot9  00000.01053230443040430341505!6, diff = 0
(1/31)base 5dot9  00000.01041343431125224114531!6, diff = 0
(1/32)base 5dot9  00000.01030154241113303412001!6, diff = 0
(1/33)base 5dot9  00000.010152051403242113455045!6, diff = 0
(1/34)base 5dot9  00000.010045132252520502022305!6, diff = 0
(1/35)base 5dot9  00000.005504113015450443520325!6, diff = 0
(1/36)base 5dot9  00000.005405311520311551235445!6, diff = 0
(1/37)base 5dot9  00000.005312435104213521012505!6, diff = 0
(1/38)base 5dot9  00000.005221404153113431422125!6, diff = 0
(1/39)base 5dot9  00000.005132050412445204334525!6, diff = 0
(1/40)base 5dot9  00000.005044003430314035122525!6, diff = 0

integers
(1)base   5dot9   00001.000000000000000000001!6, diff = 0
(2)base   5dot9   00002.000000000000000000003!6, diff = 0
(3)base   5dot9   00003.000000000000000000003!6, diff = 0
(4)base   5dot9   00004.00000000000000000001!6, diff = 0
(5)base   5dot9   00005.00000000000000000001!6, diff = 0
(6)base   5dot9   00010.03245320135131323333!6, diff = 0
(7)base   5dot9   00011.03245320135131323333!6, diff = 0
(8)base   5dot9   00012.03245320135131323334!6, diff = 0
(9)base   5dot9   00013.03245320135131323332!6, diff = 0
(10)base   5dot9  00014.03245320135131323332!6, diff = 0
(11)base   5dot9  00015.03245320135131323332!6, diff = 0
(12)base   5dot9  00020.11020525504443501232!6, diff = 0
(13)base   5dot9  00021.11020525504443501232!6, diff = 0
(14)base   5dot9  00022.11020525504443501232!6, diff = 0
(15)base   5dot9  00023.11020525504443501232!6, diff = 0
(16)base   5dot9  00024.11020525504443501234!6, diff = 0
(17)base   5dot9  00025.11020525504443501234!6, diff = 0
(18)base   5dot9  00030.14311104211343243324!6, diff = 0
(19)base   5dot9  00031.14311104211343243324!6, diff = 0
(20)base   5dot9  00032.14311104211343243324!6, diff = 0
(21)base   5dot9  00033.14311104211343243324!6, diff = 0
(22)base   5dot9  00034.14311104211343243324!6, diff = 0
(23)base   5dot9  00035.14311104211343243324!6, diff = 0
(24)base   5dot9  00040.22041504002335445354!6, diff = 0
(25)base   5dot9  00041.22041504002335445354!6, diff = 0
(26)base   5dot9  00042.22041504002335445354!6, diff = 0
(27)base   5dot9  00043.22041504002335445354!6, diff = 0
(28)base   5dot9  00044.22041504002335445354!6, diff = 0
(29)base   5dot9  00045.22041504002335445354!6, diff = 0
(30)base   5dot9  00050.25332041524350442234!6, diff = 0
(31)base   5dot9  00051.25332041524350442234!6, diff = 0
(32)base   5dot9  00052.2533204152435044224!6, diff = 0
(33)base   5dot9  00053.2533204152435044231!6, diff = 0
(34)base   5dot9  00054.2533204152435044231!6, diff = 0
(35)base   5dot9  00100.1041124521140103014!6, diff = 0
(36)base   5dot9  00101.1041124521140103014!6, diff = 0
(37)base   5dot9  00102.1041124521140103014!6, diff = 0
(38)base   5dot9  00103.1041124521140103014!6, diff = 0
(39)base   5dot9  00104.1041124521140103014!6, diff = 0
(40)base   5dot9  00105.1041124521140103014!6, diff = 0
(41)base   5dot9  00110.1410511404442203551!6, diff = 0
(42)base   5dot9  00111.1410511404442203551!6, diff = 0
(43)base   5dot9  00112.1410511404442203551!6, diff = 0
(44)base   5dot9  00113.1410511404442203551!6, diff = 0
(45)base   5dot9  00114.1410511404442203551!6, diff = 0
(46)base   5dot9  00115.1410511404442203551!6, diff = 0
(47)base   5dot9  00120.2143222330152143441!6, diff = 0
(48)base   5dot9  00121.2143222330152143441!6, diff = 0
(49)base   5dot9  00122.2143222330152143441!6, diff = 0
(50)base   5dot9  00123.2143222330152143441!6, diff = 0
(51)base   5dot9  00124.2143222330152143441!6, diff = 0
(52)base   5dot9  00125.2143222330152143441!6, diff = 0
(53)base   5dot9  00130.2513012504032543541!6, diff = 0
(54)base   5dot9  00131.2513012504032543541!6, diff = 0
(55)base   5dot9  00132.2513012504032543541!6, diff = 0
(56)base   5dot9  00133.2513012504032543541!6, diff = 0
(57)base   5dot9  00134.2513012504032543541!6, diff = 0
(58)base   5dot9  00135.2513012504032543541!6, diff = 0
(59)base   5dot9  00140.3245320135131323334!6, diff = 0
(60)base   5dot9  00141.3245320135131323334!6, diff = 0
(61)base   5dot9  00142.3245320135131323334!6, diff = 0
(62)base   5dot9  00143.3245320135131323334!6, diff = 0
(63)base   5dot9  00144.3245320135131323334!6, diff = 0
(64)base   5dot9  00145.3245320135131323343!6, diff = 0
(65)base   5dot9  00150.4022433344550034213!6, diff = 0
(66)base   5dot9  00151.4022433344550034213!6, diff = 0
(67)base   5dot9  00152.4022433344550034213!6, diff = 0
(68)base   5dot9  00153.4022433344550034213!6, diff = 0
(69)base   5dot9  00154.4022433344550034213!6, diff = 0
(70)base   5dot9  00200.2123031044303433233!6, diff = 0
(71)base   5dot9  00201.2123031044303433233!6, diff = 0
(72)base   5dot9  00202.2123031044303433233!6, diff = 0
(73)base   5dot9  00203.2123031044303433233!6, diff = 0
(74)base   5dot9  00204.2123031044303433233!6, diff = 0
(75)base   5dot9  00205.2123031044303433233!6, diff = 0
...
(7240)base   5dot9  55423.21323442004513005!6, diff = 0
(7241)base   5dot9  55424.21323442004513005!6, diff = 0
(7242)base   5dot9  55425.21323442004513005!6, diff = 0
(7243)base   5dot9  55430.25021343340030505!6, diff = 0
(7244)base   5dot9  55431.25021343340030505!6, diff = 0
(7245)base   5dot9  55432.25021343340030505!6, diff = 0
(7246)base   5dot9  55433.25021343340030505!6, diff = 0
(7247)base   5dot9  55434.25021343340030505!6, diff = 0
(7248)base   5dot9  55435.25021343340030505!6, diff = 0
(7249)base   5dot9  55440.32344420054304325!6, diff = 0
(7250)base   5dot9  55441.32344420054304325!6, diff = 0
(7251)base   5dot9  55442.32344420054304325!6, diff = 0
(7252)base   5dot9  55443.32344420054304325!6, diff = 0
(7253)base   5dot9  55444.32344420054304325!6, diff = 0
(7254)base   5dot9  55445.32344420054304325!6, diff = 0
(7255)base   5dot9  55450.40120033154424105!6, diff = 0
(7256)base   5dot9  55451.40120033154424105!6, diff = 0
(7257)base   5dot9  55452.40120033154424105!6, diff = 0
(7258)base   5dot9  55453.40120033154424105!6, diff = 0
(7259)base   5dot9  55454.40120033154424105!6, diff = 0
(7260)base   5dot9  55500.21121525113124225!6, diff = 0
(7261)base   5dot9  55501.21121525113124225!6, diff = 0
(7262)base   5dot9  55502.21121525113124225!6, diff = 0
(7263)base   5dot9  55503.21121525113124225!6, diff = 0
(7264)base   5dot9  55504.21121525113124225!6, diff = 0
(7265)base   5dot9  55505.21121525113124225!6, diff = 0
(7266)base   5dot9  55510.24412103412252325!6, diff = 0
(7267)base   5dot9  55511.24412103412252325!6, diff = 0
(7268)base   5dot9  55512.24412103412252325!6, diff = 0
(7269)base   5dot9  55513.24412103412252325!6, diff = 0
(7270)base   5dot9  55514.24412103412252325!6, diff = 0
(7271)base   5dot9  !60000.32332431340153125!6, diff = 0
(7272)base   5dot9  !60001.32332431340153125!6, diff = 0
(7273)base   5dot9  !60002.32332431340153125!6, diff = 0
(7274)base   5dot9  !60003.32332431340153125!6, diff = 0
(7275)base   5dot9  !60004.32332431340153125!6, diff = 0
(7276)base   5dot9  !60005.32332431340153125!6, diff = 0
