Inverses and integers in base E^2
(1/1)base E^2   00001.0000000000000000003!8, diff = 0
(1/2)base E^2   00000.3507134470715423117!8, diff = 0
(1/3)base E^2   00000.23306111670001450566!8, diff = 0
(1/4)base E^2   00000.16166107141513263026!8, diff = 0
(1/5)base E^2   00000.13365656443040405533!8, diff = 0
(1/6)base E^2   00000.11516221355111206113!8, diff = 0
(1/7)base E^2   00000.10301640055164102603!8, diff = 0
(1/8)base E^2   00000.06605104365404365273!8, diff = 0
(1/9)base E^2   00000.06034454666314653404!8, diff = 0
(1/10)base E^2  00000.05326663206011563621!8, diff = 0
(1/11)base E^2  00000.04706352344345435144!8, diff = 0
(1/12)base E^2  00000.04403312516420360724!8, diff = 0
(1/13)base E^2  00000.0413362556710541171!8, diff = 0
(1/14)base E^2  00000.03645640641643520041!8, diff = 0
(1/15)base E^2  00000.03452570550201103454!8, diff = 0
(1/16)base E^2  00000.03302415347004330643!8, diff = 0
(1/17)base E^2  00000.031411525330603704356!8, diff = 0
(1/18)base E^2  00000.030160066464431332706!8, diff = 0
(1/19)base E^2  00000.026324715662267152246!8, diff = 0
(1/20)base E^2  00000.025265105354664440506!8, diff = 0
(1/21)base E^2  00000.024313303013310524106!8, diff = 0
(1/22)base E^2  00000.023407242345041250106!8, diff = 0
(1/23)base E^2  00000.022544713464665531506!8, diff = 0
(1/24)base E^2  00000.022015206430500136676!8, diff = 0
(1/25)base E^2  00000.021246051065543042546!8, diff = 0
(1/26)base E^2  00000.020532525014713235446!8, diff = 0
(1/27)base E^2  00000.020114026145711120426!8, diff = 0
(1/28)base E^2  00000.017010226102264460146!8, diff = 0
(1/29)base E^2  00000.016362416025145343006!8, diff = 0
(1/30)base E^2  00000.016031330236105345106!8, diff = 0
(1/31)base E^2  00000.015444054660527064046!8, diff = 0
(1/32)base E^2  00000.015143610152072111136!8, diff = 0
(1/33)base E^2  00000.014612221726301630213!8, diff = 0
(1/34)base E^2  00000.01433620003706720306!8, diff = 0
(1/35)base E^2  00000.014100626612060503053!8, diff = 0
(1/36)base E^2  00000.013602071725307070023!8, diff = 0
(1/37)base E^2  00000.013356563006571643163!8, diff = 0
(1/38)base E^2  00000.013150152332335060253!8, diff = 0
(1/39)base E^2  00000.012703132551650102163!8, diff = 0
(1/40)base E^2  00000.01251047170434423126!8, diff = 0

integers
(1)base   E^2   00001.0000000000000000003!8, diff = 0
(2)base   E^2   00002.0000000000000000007!8, diff = 0
(3)base   E^2   00003.0000000000000000007!8, diff = 0
