Inverses and integers in base Geo-2
(1/1)base Geo-2   00001.000000000000000000000002!5, diff = 0
(1/2)base Geo-2   00000.214343434343434343434341!5, diff = 0
(1/3)base Geo-2   00000.1242310112423101124230423!5, diff = 0
(1/4)base Geo-2   00000.1043434343434343434343423!5, diff = 0
(1/5)base Geo-2   00000.0430430430430430430430421!5, diff = 0
(1/6)base Geo-2   00000.0341124231011242310112401!5, diff = 0
(1/7)base Geo-2   00000.0312410312410312410312401!5, diff = 0
(1/8)base Geo-2   00000.0241434343434343434343431!5, diff = 0
(1/9)base Geo-2   00000.02240222124041143212214144!5, diff = 0
(1/10)base Geo-2  00000.02124124124124124124124024!5, diff = 0
(1/11)base Geo-2  00000.02023334033421040402304024!5, diff = 0
(1/12)base Geo-2  00000.01423101124231011242304344!5, diff = 0
(1/13)base Geo-2  00000.01340011023043313033341304!5, diff = 0
(1/14)base Geo-2  00000.01310023310023310023304344!5, diff = 0
(1/15)base Geo-2  00000.01231113033423202411400024!5, diff = 0
(1/16)base Geo-2  00000.01204343434343434343434314!5, diff = 0
(1/17)base Geo-2  00000.01134000423003430113400002!5, diff = 0
(1/18)base Geo-2  00000.01120111034020314232400242!5, diff = 0
(1/19)base Geo-2  00000.01102104021401320334243222!5, diff = 0
(1/20)base Geo-2  00000.01034034034034034034034012!5, diff = 0
(1/21)base Geo-2  00000.01022324124014011030400212!5, diff = 0
(1/22)base Geo-2  00000.01011412214134240201124022!5, diff = 0
(1/23)base Geo-2  00000.01001223432403302412410012!5, diff = 0
(1/24)base Geo-2  00000.00431242310112423101124202!5, diff = 0
(1/25)base Geo-2  00000.00422012133214300422012102!5, diff = 0
(1/26)base Geo-2  00000.00412402431241401434122332!5, diff = 0
(1/27)base Geo-2  00000.00403423203113143343332332!5, diff = 0
(1/28)base Geo-2  00000.00400211400211400211400122!5, diff = 0
(1/29)base Geo-2  00000.00341103403124034341334332!5, diff = 0
(1/30)base Geo-2  00000.00333011034140412112220002!5, diff = 0
(1/31)base Geo-2  00000.00330102322132004110212232!5, diff = 0
(1/32)base Geo-2  00000.00322143434343434343434314!5, diff = 0
(1/33)base Geo-2  00000.00314330400341040113343433!5, diff = 0
(1/34)base Geo-2  00000.00312200211221432231214341!5, diff = 0
(1/35)base Geo-2  00000.00310100310100310100310013!5, diff = 0
(1/36)base Geo-2  00000.00302430034210131404304111!5, diff = 0
(1/37)base Geo-2  00000.00300433221332331001232221!5, diff = 0
(1/38)base Geo-2  00000.0024302401042040310141221!5, diff = 0
(1/39)base Geo-2  00000.00241131314232114112241341!5, diff = 0
(1/40)base Geo-2  00000.00234214214214214214214131!5, diff = 0

integers
