Inverses and integers in base Geo7
(1/1)base Geo7   00001.00000000000000000000000000000000000000000000000000000000000001!2, diff = 0
(1/2)base Geo7   00000.011001001011000110001101100100000000101010001100101000010000101!2, diff = 0
(1/3)base Geo7   00000.0100010010001100000001010101100010000010011010000001000001011001!2, diff = 0
(1/4)base Geo7   00000.0010110011010100011000101001101001010110010000100110100100000001!2, diff = 0
(1/5)base Geo7   00000.00100100110011001010100011010100000110101001010010010000010101101!2, diff = 0
(1/6)base Geo7   00000.00100000001000110101011010000011000110110000000001000010010110101!2, diff = 0
(1/7)base Geo7   00000.00011000010000100010100010011010001100110011000101010101101011101!2, diff = 0
(1/8)base Geo7   00000.00010100110000110011001011011000110101010110110000001000001000011!2, diff = 0
(1/9)base Geo7   00000.000100101001011000000110000001101010101010101010001011000001000001!2, diff = 0
(1/10)base Geo7  00000.000100010001100100100010100101000010011000100010010001101100000001!2, diff = 0
(1/11)base Geo7  00000.000100000000010110100110000000011001011000001011010000001001100101!2, diff = 0
(1/12)base Geo7  00000.000011001010101000011000100000000100110011011001000000100100100001!2, diff = 0
(1/13)base Geo7  00000.000010110110010010000011001000101100011000101100011000000100101101!2, diff = 0
(1/14)base Geo7  00000.000010101011001100001101011011000011001010101001100010100010100111!2, diff = 0
(1/15)base Geo7  00000.000010100010110010010101010000011001001101010010010101010000010001!2, diff = 0
(1/16)base Geo7  00000.000010011000000110011000101000000101100100001100010000001100110101!2, diff = 0
(1/17)base Geo7  00000.00001001000100110000101000101100010000101101001010101101001001010011!2, diff = 0
(1/18)base Geo7  00000.00001000101000000011000100100100000110110001001101000110011010010111!2, diff = 0
(1/19)base Geo7  00000.00001000010010010000101000110000101101010001001000101001100100010011!2, diff = 0
(1/20)base Geo7  00000.00001000000001010100101101001100100010011000001000000110011000000011!2, diff = 0
(1/21)base Geo7  00000.00000110100100101001011001000100100000101010010000001000100101010111!2, diff = 0
(1/22)base Geo7  00000.00000110010100000110100101000000100100101010100100000000000001101011!2, diff = 0
(1/23)base Geo7  00000.00000110000110011010101010101100101001000000010101001000101001010011!2, diff = 0
(1/24)base Geo7  00000.00000101101001100001010010110011001010010010011010011001010110001011!2, diff = 0
(1/25)base Geo7  00000.00000101100000001000110000000001101000100110001101100100100110001011!2, diff = 0
(1/26)base Geo7  00000.00000101010010100000101010010010010000010100010000000110000010000111!2, diff = 0
(1/27)base Geo7  00000.00000101001001000000001000101001001010010011000011001000101011000011!2, diff = 0
(1/28)base Geo7  00000.00000101000001000110001001000100110101010001010010011001100000101011!2, diff = 0
(1/29)base Geo7  00000.00000100110001000110100100000010010000001100110101000011000101001011!2, diff = 0
(1/30)base Geo7  00000.00000100101001000000000000110001000001100001010101011001010110000011!2, diff = 0
(1/31)base Geo7  00000.00000100100010010101001010110010000100011000000001100000000011000011!2, diff = 0
(1/32)base Geo7  00000.00000100011000101010000110100101100100101000000000010110010000000111!2, diff = 0
(1/33)base Geo7  00000.000001000100101010100001000110100000000001101100010110000100110100001!2, diff = 0
(1/34)base Geo7  00000.000001000011000011000100000000011001100011001101010100100000011000001!2, diff = 0
(1/35)base Geo7  00000.000001000001101010001101000001010001001000110101001101100000000011001!2, diff = 0
(1/36)base Geo7  00000.000001000000100110011001100011000110001001011010010000110000101011001!2, diff = 0
(1/37)base Geo7  00000.000000110110000010100100000010001001001100000100001000000101100100101!2, diff = 0
(1/38)base Geo7  00000.000000110100110011001010010011001101100100001010101000011000110001001!2, diff = 0
(1/39)base Geo7  00000.000000110100000000110001011010100100000010001101000110010000000011001!2, diff = 0
(1/40)base Geo7  00000.000000110010100100101100010101100001100011000101001001100101000100001!2, diff = 0

integers
(1)base   Geo7   00001.00000000000000000000000000000000000000000000000000000000000001!2, diff = 0
(2)base   Geo7   00010.0010000101100000000100000001011000110001001001000000011010001!2, diff = 0
(3)base   Geo7   00011.0010000101100000000100000001011000110001001001000000011001001!2, diff = 0
(4)base   Geo7   00100.100101010100000010011000010001100100001101011010011010001011!2, diff = 0
(5)base   Geo7   00101.100101010100000010011000010001100100001101011010011010000111!2, diff = 0
(6)base   Geo7   00110.110000001000001101011010101001101010101100000100010100101011!2, diff = 0
(7)base   Geo7   01000.110100000100010001000110101010000110101100101010010100100111!2, diff = 0
(8)base   Geo7   01010.0001010000110000001010010001000010100110010000001001010101!2, diff = 0
(9)base   Geo7   01011.0001010000110000001010010001000010100110010000001001001001!2, diff = 0
(10)base   Geo7  01100.1000101010110001101010000100001010011001100000101100110101!2, diff = 0
(11)base   Geo7  01101.1000101010110001101010000100001010011001100000101100110101!2, diff = 0
(12)base   Geo7  10000.1101001001010100001010010010001010110001010011010101010101!2, diff = 0
(13)base   Geo7  10010.0001011001000110011000001101000100110011001100001100000101!2, diff = 0
(14)base   Geo7  10011.0001011001000110011000001101000100110011001100001100000101!2, diff = 0
(15)base   Geo7  10100.1000110100101010001000001101001100011010100010101011010001!2, diff = 0
(16)base   Geo7  10101.100011010010101000100000110100110001101010001010101101001!2, diff = 0
(17)base   Geo7  10110.101100010000010100010101000100101000110101000101010001001!2, diff = 0
(18)base   Geo7  11000.110010000010110110010001101010001001000011010100000000101!2, diff = 0
(19)base   Geo7  11010.000011000010001000101011010101101011001001000010100101101!2, diff = 0
(20)base   Geo7  11011.000011000010001000101011010101101011001001000010100101101!2, diff = 0
(21)base   Geo7  11100.100001000100001000000100001010110001001101100000010001001!2, diff = 0
(22)base   Geo7  11101.100001000100001000000100001010110001001101100000010001001!2, diff = 0
(23)base   Geo7  !20000.110010100100011000101100000001000100110010101001101011101!2, diff = 0
(24)base   Geo7  !20010.000100000101010110100010110010000000100110000100011001001!2, diff = 0
(25)base   Geo7  !20011.000100000101010110100010110010000000100110000100011001001!2, diff = 0
Base Geo7 encoding for Phi     00001.10001010100001010100100001001011010011000101011000110010100001!2, diff = 0
Base Geo7 encoding for Phi^2   00010.1010110010000000100011000011000100110010010100010100001010101!2, diff = 0
Base Geo7 encoding for Phi^3   00100.110010011001101000001100010010001000011010000010101100000111!2, diff = 0
Base Geo7 encoding for Phi^4   01000.101011001010100001101000100010000100100101011010010000100111!2, diff = 0
Base Geo7 encoding for Phi^5   10000.0000011010101011000101000110001100000010010000100000001101!2, diff = 0
Base Geo7 encoding for Phi^6   11000.101101011010000001001000010110100001001000100110010100101!2, diff = 0
Base Geo7 encoding for E       00010.1100011001011000101010000101010010110001101000010000100001001!2, diff = 0
Base Geo7 encoding for E^2     01001.010001000101100010100000010001000101100100001100011000000011!2, diff = 0
Base Geo7 encoding for E^E     10100.1010101101010010011010000010100100110010000001100110000001!2, diff = 0
Base Geo7 encoding for PI      00011.0100001001000110000100000000010001001000100110001010010100101!2, diff = 0
Base Geo7 encoding for SQRT2   00001.01010010110100001000010000110010000011000011001001011010000001!2, diff = 0
Base Geo7 encoding for SQRT3   00001.10100010010100110100000010011001001001001011000000000000000101!2, diff = 0
Base Geo7 encoding for SQRT5   00010.0101001010110010000101101001100101101010010010101100000000001!2, diff = 0
Base Geo7 encoding for SQRT6   00010.1000110000010110000000110011010000000101010010110010110000001!2, diff = 0
Base Geo7 encoding for 5dot9   00110.101001011000101100101100010010001010101001011000101000010011!2, diff = 0
Base Geo7 encoding for 6dot9   01000.101101010100110000010101101000100001010011001010101000100011!2, diff = 0
Base Geo7 encoding for m235    00010.1011010110010011010100110010000001001011011000100001001000101!2, diff = 0
Base Geo7 encoding for Geo2    00001.00100101101011010000011010100101011001100010001010010100110101!2, diff = 0
Base Geo7 encoding for Geo-2   00101.011001010110010000011000101001010100110101101000001010100011!2, diff = 0
Base Geo7 encoding for Geo3    00001.01001010000010001000000110100101100100101100110100000011010001!2, diff = 0
Base Geo7 encoding for Geo-3   00010.1100100100100110110010000010010000011010101000011010100000001!2, diff = 0
Base Geo7 encoding for Geo7    00010.00000000000000000000000000000000000000000000000000000000000001!2, diff = 0
Base Geo7 encoding for Geo-7   00001.00101000000010001101010110100000110001101100000000010000101001!2, diff = 0
Base Geo7 encoding for 7dot9   01010.000000101000100100010101001011001101010010001100110010010011!2, diff = 0
