Inverses and integers in base Phi^3
(1/1)base Phi^3   00001.00000000000000000000000002!5, diff = 0
(1/2)base Phi^3   00000.202020202020202020202020224!5, diff = 0
(1/3)base Phi^3   00000.113023201130232011302320132!5, diff = 0
(1/4)base Phi^3   00000.101010101010101010101010112!5, diff = 0
(1/5)base Phi^3   00000.0322012340312302211003220134!5, diff = 0
(1/6)base Phi^3   00000.0240321002403210024032100334!5, diff = 0
(1/7)base Phi^3   00000.0221224032232210022122403214!5, diff = 0
(1/8)base Phi^3   00000.0210021002100210021002100234!5, diff = 0
(1/9)base Phi^3   00000.0140331001403310014033100202!5, diff = 0
(1/10)base Phi^3  00000.0131211140331323331001312042!5, diff = 0
(1/11)base Phi^3  00000.0122322310012232231001223302!5, diff = 0
(1/12)base Phi^3  00000.0120131001201310012013100122!5, diff = 0
(1/13)base Phi^3  00000.0112220122314033322302221322!5, diff = 0
(1/14)base Phi^3  00000.0110314033400310011031403402!5, diff = 0
(1/15)base Phi^3  00000.0103203313012231203030133212!5, diff = 0
(1/16)base Phi^3  00000.0102031001020310010203100112!5, diff = 0
(1/17)base Phi^3  00000.0100403403100100403403100111!5, diff = 0
(1/18)base Phi^3  00000.0040400000404000004040000101!5, diff = 0
(1/19)base Phi^3  00000.0040000040000040000040000101!5, diff = 0
(1/20)base Phi^3  00000.0033123120133211400000331233!5, diff = 0
(1/21)base Phi^3  00000.0032223022224000003222302231!5, diff = 0
(1/22)base Phi^3  00000.0031334000003133400000313401!5, diff = 0
(1/23)base Phi^3  00000.0031104040034000003110404011!5, diff = 0
(1/24)base Phi^3  00000.0030300000303000003030000031!5, diff = 0
(1/25)base Phi^3  00000.0030030113303012221134010103!5, diff = 0
(1/26)base Phi^3  00000.0023332313204040111121313003!5, diff = 0
(1/27)base Phi^3  00000.0023133320404011311130000023!5, diff = 0
(1/28)base Phi^3  00000.0023002014013000002300201401!5, diff = 0
(1/29)base Phi^3  00000.0022223222300000222232222403!5, diff = 0
(1/30)base Phi^3  00000.0022101332003133122012113333!5, diff = 0
(1/31)base Phi^3  00000.0021333000002133300000213331!5, diff = 0
(1/32)base Phi^3  00000.0021220202233000002122020231!5, diff = 0
(1/33)base Phi^3  00000.00211033023222240030240022232!5, diff = 0
(1/34)base Phi^3  00000.00204040200000204040200000212!5, diff = 0
(1/35)base Phi^3  00000.00203012010310133140103122312!5, diff = 0
(1/36)base Phi^3  00000.00202000002020000020200000202!5, diff = 0
(1/37)base Phi^3  00000.00200402132222132100233222312!5, diff = 0
(1/38)base Phi^3  00000.00200000200000200000200000202!5, diff = 0
(1/39)base Phi^3  00000.00140012103402312222312102232!5, diff = 0
(1/40)base Phi^3  00000.00133133121133312000001332002!5, diff = 0

integers
(1)base   Phi^3   00001.00000000000000000000000002!5, diff = 0
(2)base   Phi^3   00002.00000000000000000000000014!5, diff = 0
(3)base   Phi^3   00003.00000000000000000000000014!5, diff = 0
(4)base   Phi^3   00004.0000000000000000000000002!5, diff = 0
(5)base   Phi^3   00010.3100000000000000000000002!5, diff = 0
(6)base   Phi^3   00011.3100000000000000000000002!5, diff = 0
(7)base   Phi^3   00012.3100000000000000000000002!5, diff = 0
(8)base   Phi^3   00013.3100000000000000000000004!5, diff = 0
(9)base   Phi^3   00020.2100000000000000000000004!5, diff = 0
(10)base   Phi^3  00021.2100000000000000000000004!5, diff = 0
(11)base   Phi^3  00022.2100000000000000000000004!5, diff = 0
(12)base   Phi^3  00023.2100000000000000000000004!5, diff = 0
(13)base   Phi^3  00030.1100000000000000000000004!5, diff = 0
(14)base   Phi^3  00031.1100000000000000000000004!5, diff = 0
(15)base   Phi^3  00032.1100000000000000000000004!5, diff = 0
(16)base   Phi^3  00033.110000000000000000000001!5, diff = 0
(17)base   Phi^3  00040.010000000000000000000001!5, diff = 0
(18)base   Phi^3  00100.010000000000000000000001!5, diff = 0
(19)base   Phi^3  00101.010000000000000000000001!5, diff = 0
(20)base   Phi^3  00102.010000000000000000000001!5, diff = 0
(21)base   Phi^3  00103.010000000000000000000001!5, diff = 0
(22)base   Phi^3  00104.010000000000000000000001!5, diff = 0
(23)base   Phi^3  00110.320000000000000000000001!5, diff = 0
(24)base   Phi^3  00111.320000000000000000000001!5, diff = 0
(25)base   Phi^3  00112.320000000000000000000001!5, diff = 0
(26)base   Phi^3  00113.320000000000000000000001!5, diff = 0
(27)base   Phi^3  00120.220000000000000000000001!5, diff = 0
(28)base   Phi^3  00121.220000000000000000000001!5, diff = 0
(29)base   Phi^3  00122.220000000000000000000001!5, diff = 0
(30)base   Phi^3  00123.220000000000000000000001!5, diff = 0
(31)base   Phi^3  00130.120000000000000000000001!5, diff = 0
(32)base   Phi^3  00131.120000000000000000000003!5, diff = 0
(33)base   Phi^3  00132.120000000000000000000003!5, diff = 0
(34)base   Phi^3  00133.120000000000000000000003!5, diff = 0
(35)base   Phi^3  00140.020000000000000000000003!5, diff = 0
(36)base   Phi^3  00200.020000000000000000000003!5, diff = 0
(37)base   Phi^3  00201.020000000000000000000003!5, diff = 0
(38)base   Phi^3  00202.020000000000000000000003!5, diff = 0
(39)base   Phi^3  00203.020000000000000000000003!5, diff = 0
(40)base   Phi^3  00204.020000000000000000000003!5, diff = 0
(41)base   Phi^3  00210.330000000000000000000023!5, diff = 0
(42)base   Phi^3  00211.330000000000000000000023!5, diff = 0
(43)base   Phi^3  00212.330000000000000000000023!5, diff = 0
(44)base   Phi^3  00213.330000000000000000000023!5, diff = 0
(45)base   Phi^3  00220.230000000000000000000003!5, diff = 0
(46)base   Phi^3  00221.230000000000000000000003!5, diff = 0
(47)base   Phi^3  00222.230000000000000000000003!5, diff = 0
(48)base   Phi^3  00223.230000000000000000000003!5, diff = 0
(49)base   Phi^3  00230.130000000000000000000003!5, diff = 0
(50)base   Phi^3  00231.130000000000000000000003!5, diff = 0
(51)base   Phi^3  00232.130000000000000000000003!5, diff = 0
(52)base   Phi^3  00233.130000000000000000000003!5, diff = 0
(53)base   Phi^3  00240.030000000000000000000003!5, diff = 0
(54)base   Phi^3  00300.030000000000000000000003!5, diff = 0
(55)base   Phi^3  00301.030000000000000000000003!5, diff = 0
(56)base   Phi^3  00302.030000000000000000000003!5, diff = 0
(57)base   Phi^3  00303.030000000000000000000003!5, diff = 0
(58)base   Phi^3  00304.030000000000000000000003!5, diff = 0
(59)base   Phi^3  00310.340000000000000000000023!5, diff = 0
(60)base   Phi^3  00311.340000000000000000000023!5, diff = 0
(61)base   Phi^3  00312.340000000000000000000023!5, diff = 0
(62)base   Phi^3  00313.340000000000000000000023!5, diff = 0
(63)base   Phi^3  00320.240000000000000000000003!5, diff = 0
(64)base   Phi^3  00321.24000000000000000000001!5, diff = 0
(65)base   Phi^3  00322.24000000000000000000001!5, diff = 0
(66)base   Phi^3  00323.24000000000000000000001!5, diff = 0
(67)base   Phi^3  00330.14000000000000000000001!5, diff = 0
(68)base   Phi^3  00331.14000000000000000000001!5, diff = 0
(69)base   Phi^3  00332.14000000000000000000001!5, diff = 0
(70)base   Phi^3  00333.14000000000000000000001!5, diff = 0
(71)base   Phi^3  00340.04000000000000000000001!5, diff = 0
(72)base   Phi^3  00400.04000000000000000000001!5, diff = 0
(73)base   Phi^3  00401.04000000000000000000001!5, diff = 0
(74)base   Phi^3  00402.04000000000000000000001!5, diff = 0
(75)base   Phi^3  00403.04000000000000000000001!5, diff = 0
...
(1579)base   Phi^3  43320.232030404040404040401!5, diff = 0
(1580)base   Phi^3  43321.232030404040404040401!5, diff = 0
(1581)base   Phi^3  43322.232030404040404040401!5, diff = 0
(1582)base   Phi^3  43323.232030404040404040401!5, diff = 0
(1583)base   Phi^3  43330.132031000000000000001!5, diff = 0
(1584)base   Phi^3  43331.132031000000000000001!5, diff = 0
(1585)base   Phi^3  43332.132031000000000000001!5, diff = 0
(1586)base   Phi^3  43333.132031000000000000001!5, diff = 0
(1587)base   Phi^3  43340.032031000000000000001!5, diff = 0
(1588)base   Phi^3  43400.032031000000000000001!5, diff = 0
(1589)base   Phi^3  43401.032031000000000000001!5, diff = 0
(1590)base   Phi^3  43402.032031000000000000001!5, diff = 0
(1591)base   Phi^3  43403.032031000000000000001!5, diff = 0
(1592)base   Phi^3  43404.032031000000000000001!5, diff = 0
(1593)base   Phi^3  44000.401031000000000000001!5, diff = 0
(1594)base   Phi^3  44001.401031000000000000001!5, diff = 0
(1595)base   Phi^3  44002.401031000000000000001!5, diff = 0
(1596)base   Phi^3  44003.401031000000000000001!5, diff = 0
(1597)base   Phi^3  44010.301031000000000000001!5, diff = 0
(1598)base   Phi^3  44011.301031000000000000001!5, diff = 0
(1599)base   Phi^3  44012.301031000000000000001!5, diff = 0
(1600)base   Phi^3  44013.301031000000000000001!5, diff = 0
(1601)base   Phi^3  44020.201030404040404040401!5, diff = 0
(1602)base   Phi^3  44021.201030404040404040401!5, diff = 0
(1603)base   Phi^3  44022.201030404040404040401!5, diff = 0
(1604)base   Phi^3  44023.201030404040404040401!5, diff = 0
(1605)base   Phi^3  44030.101031000000000000001!5, diff = 0
(1606)base   Phi^3  44031.101031000000000000001!5, diff = 0
(1607)base   Phi^3  44032.101031000000000000001!5, diff = 0
(1608)base   Phi^3  44033.101031000000000000001!5, diff = 0
(1609)base   Phi^3  44040.001031000000000000001!5, diff = 0
(1610)base   Phi^3  !50000.001030404040404040401!5, diff = 0
(1611)base   Phi^3  !50001.001030404040404040401!5, diff = 0
(1612)base   Phi^3  !50002.001030404040404040401!5, diff = 0
(1613)base   Phi^3  !50003.001030404040404040401!5, diff = 0
(1614)base   Phi^3  !50004.001030404040404040401!5, diff = 0
(1615)base   Phi^3  !50010.311030404040404040401!5, diff = 0
(1616)base   Phi^3  !50011.311030404040404040401!5, diff = 0
(1617)base   Phi^3  !50012.311030404040404040401!5, diff = 0
(1618)base   Phi^3  !50013.311030404040404040401!5, diff = 0
(1619)base   Phi^3  !50020.211030404040404040341!5, diff = 0
Base Phi^3 encoding for Phi    00001.22222222222222222222222302!5, diff = 0
Base Phi^3 encoding for Phi^2  00002.22222222222222222222222234!5, diff = 0
Base Phi^3 encoding for Phi^3  00010.0000000000000000000000002!5, diff = 0
Base Phi^3 encoding for Phi^4  00012.2222222222222222222222222!5, diff = 0
Base Phi^3 encoding for Phi^5  00022.2222222222222222222222204!5, diff = 0
Base Phi^3 encoding for Phi^6  00100.000000000000000000000001!5, diff = 0
Base Phi^3 encoding for E      00002.30031002331111012012020034!5, diff = 0
Base Phi^3 encoding for E^2    00013.0230231400111201231130012!5, diff = 0
Base Phi^3 encoding for E^E    00032.1331011200234013024010004!5, diff = 0
Base Phi^3 encoding for PI     00003.02210402321020300222200314!5, diff = 0
Base Phi^3 encoding for SQRT2  00001.13032100210022222000321212!5, diff = 0
Base Phi^3 encoding for SQRT3  00001.30131324031022022132303032!5, diff = 0
Base Phi^3 encoding for SQRT5  00002.10000000000000000000000014!5, diff = 0
Base Phi^3 encoding for SQRT6  00002.13320304024040402401020214!5, diff = 0
