Inverses and integers in base Phi^5
(1/1)base Phi^5   00001.0000000000000005!c, diff = 0
(1/2)base Phi^5   00000.5605605605605608!c, diff = 0
(1/3)base Phi^5   00000.3780744037807441!c, diff = 0
(1/4)base Phi^5   00000.2863302863302865!c, diff = 0
(1/5)base Phi^5   00000.22470672908975058!c, diff = 0
(1/6)base Phi^5   00000.1945982579a092768!c, diff = 0
(1/7)base Phi^5   00000.165366a0956855198!c, diff = 0
(1/8)base Phi^5   00000.1431706a372014328!c, diff = 0
(1/9)base Phi^5   00000.1264289452a099584!c, diff = 0
(1/10)base Phi^5  00000.1123594145a538084!c, diff = 0
(1/11)base Phi^5  00000.1010101010101011!c, diff = 0
(1/12)base Phi^5  00000.0a2854129550469a4!c, diff = 0
(1/13)base Phi^5  00000.095127069169b0a34!c, diff = 0
(1/14)base Phi^5  00000.088793a6528a32664!c, diff = 0
(1/15)base Phi^5  00000.082239a533a76579!c, diff = 0
(1/16)base Phi^5  00000.0776963a797062714!c, diff = 0
(1/17)base Phi^5  00000.07267853026846986!c, diff = 0
(1/18)base Phi^5  00000.06926a5226b0a5296!c, diff = 0
(1/19)base Phi^5  00000.06528427242789552!c, diff = 0
(1/20)base Phi^5  00000.06173476835274596!c, diff = 0
(1/21)base Phi^5  00000.0595627069669610a!c, diff = 0
(1/22)base Phi^5  00000.0566100566100565a!c, diff = 0
(1/23)base Phi^5  00000.0539519326a81693a!c, diff = 0
(1/24)base Phi^5  00000.0514276752807954a!c, diff = 0
(1/25)base Phi^5  00000.04a22383426461462!c, diff = 0
(1/26)base Phi^5  00000.04811359508b05566!c, diff = 0
(1/27)base Phi^5  00000.04618369247436972!c, diff = 0
(1/28)base Phi^5  00000.0443a25326a571896!c, diff = 0
(1/29)base Phi^5  00000.04275279542710046!c, diff = 0
(1/30)base Phi^5  00000.04111a5821a99339a!c, diff = 0
(1/31)base Phi^5  00000.03a81003a81003a76!c, diff = 0
