Inverses and integers in base Phi^6
(1/1)base Phi^6   00001.0000000000002!i, diff = 0
(1/2)base Phi^6   00000.8h7h7h7h7h7hb!i, diff = 0
(1/3)base Phi^6   00000.5hah4hah4hah49!i, diff = 0
(1/4)base Phi^6   00000.48ch38ch38ch3!i, diff = 0
(1/5)base Phi^6   00000.3aa2hd66dh2ab4!i, diff = 0
(1/6)base Phi^6   00000.2hdh1hdh1hdh1e!i, diff = 0
(1/7)base Phi^6   00000.2a1he6eh1a1hee!i, diff = 0
(1/8)base Phi^6   00000.2468aceh1468b4!i, diff = 0
(1/9)base Phi^6   00000.1heh0heh0heh17!i, diff = 0
(1/10)base Phi^6  00000.1e4a86c2fh0e4h!i, diff = 0
(1/11)base Phi^6  00000.1b5fh0b5fh0b62!i, diff = 0
(1/12)base Phi^6  00000.18fh08fh08fh0c!i, diff = 0
(1/13)base Phi^6  00000.16ee60hfa22ag2!i, diff = 0
(1/14)base Phi^6  00000.150hfbfh050hfc!i, diff = 0
(1/15)base Phi^6  00000.1396ba1e3hc2fc!i, diff = 0
(1/16)base Phi^6  00000.123456789abce2!i, diff = 0
(1/17)base Phi^6  00000.10hffh00hffh06!i, diff = 0
(1/18)base Phi^6  00000.0hfghgfghgfh03!i, diff = 0
(1/19)base Phi^6  00000.0gghfghfghfh03!i, diff = 0
(1/20)base Phi^6  00000.0g1e3c5a7896b8!i, diff = 0
(1/21)base Phi^6  00000.0f5ha1gghe5ha6!i, diff = 0
(1/22)base Phi^6  00000.0eb78952gghdbd!i, diff = 0
(1/23)base Phi^6  00000.0dhgg2gghchgg8!i, diff = 0
(1/24)base Phi^6  00000.0d7893gghc7898!i, diff = 0
(1/25)base Phi^6  00000.0cfe2d7f5a755b!i, diff = 0
(1/26)base Phi^6  00000.0c6g2987e0a4h8!i, diff = 0
(1/27)base Phi^6  00000.0bgahgg505gghd!i, diff = 0
(1/28)base Phi^6  00000.0b8h75ggha8h78!i, diff = 0
