Inverses and integers in base SQRT3
(1/1)base SQRT3   00001.00000000000000000000000000000000000000000000000000000000000000000011!2, diff = 0
(1/2)base SQRT3   00000.010101010101010101010101010101010101010101010101010101010101010101001!2, diff = 0
(1/3)base SQRT3   00000.0011001010001100000010010000100000100010100101000000001100000100100001!2, diff = 0
(1/4)base SQRT3   00000.0010010110001001100001001001010010000010110000000100001001000010000001!2, diff = 0
(1/5)base SQRT3   00000.00100000100000110000010000000100001010110000100010000100101000001100001!2, diff = 0
(1/6)base SQRT3   00000.00010101010101010101010101010101010101010101010101010101010101010101001!2, diff = 0
(1/7)base SQRT3   00000.00010010101010000100110001001001001001010010100010010110000100001100001!2, diff = 0
(1/8)base SQRT3   00000.00010001000100010001000100010001000100010001000100010001000100001100101!2, diff = 0
(1/9)base SQRT3   00000.0000110010100011000000100100001000001000101001010000000011000001001001011!2, diff = 0
(1/10)base SQRT3  00000.0000101100010110000110001000101000101010000101000001000000000001001100011!2, diff = 0
(1/11)base SQRT3  00000.0000101001001100000010001010001000001010001100100000100000000110001001011!2, diff = 0
(1/12)base SQRT3  00000.0000100101100010011000010010010100100000101100000001000010010000010101011!2, diff = 0
(1/13)base SQRT3  00000.0000100100000011000010001000010100010100001100001010101001010100000001011!2, diff = 0
(1/14)base SQRT3  00000.0000100010000000110010010001010010101010001001000000000001010101100100011!2, diff = 0
(1/15)base SQRT3  00000.0000100000100000110000010000000100001010110000100010000100101000001001011!2, diff = 0
(1/16)base SQRT3  00000.0000011000110010010100000001000001000110001100100001010100011001000010011!2, diff = 0
(1/17)base SQRT3  00000.00000110000000101100000000011001000010000100010110010000100110000110000001!2, diff = 0
(1/18)base SQRT3  00000.00000101010101010101010101010101010101010101010101010101010101010100010001!2, diff = 0
(1/19)base SQRT3  00000.00000101001010000110000001001100001000010100001100100100110001010000000101!2, diff = 0
(1/20)base SQRT3  00000.00000101000001010000010100000101000001010000010100000101000001001100010101!2, diff = 0
(1/21)base SQRT3  00000.00000100101010100001001100010010010010010100101000100101100001000011000101!2, diff = 0
(1/22)base SQRT3  00000.00000100100011000010100010010101001010000000010010000101000011000100101001!2, diff = 0
(1/23)base SQRT3  00000.00000100010110010000100000000100100100101011000010010000010000011000100101!2, diff = 0
(1/24)base SQRT3  00000.00000100010001000100010001000100010001000100010001000100010001000011000001!2, diff = 0
(1/25)base SQRT3  00000.00000100001001001010100101001010010101010000110001100001100000010101001001!2, diff = 0
(1/26)base SQRT3  00000.00000100000100000100000100000100000100000100000100000100000100000010101001!2, diff = 0
(1/27)base SQRT3  00000.00000011001010001100000010010000100000100010100101000000001100000100010101!2, diff = 0
(1/28)base SQRT3  00000.00000011000101010000001000110001001000000010000101100000010000100100110001!2, diff = 0
(1/29)base SQRT3  00000.00000011000001100010000110001100001010001000011001010000101100001001010101!2, diff = 0
(1/30)base SQRT3  00000.00000010110001011000011000100010100010101000010100000100000000000100100101!2, diff = 0
(1/31)base SQRT3  00000.00000010101011001010001010000110001000010010010010000000010100000001100001!2, diff = 0
(1/32)base SQRT3  00000.00000010101000101000100010000101000100000000000100100010101000010000101101!2, diff = 0
(1/33)base SQRT3  00000.000000101001001100000010001010001000001010001100100000100000000110000011001!2, diff = 0
(1/34)base SQRT3  00000.000000101000100010010010001001100000010001100100000001010000101000001100001!2, diff = 0
(1/35)base SQRT3  00000.000000101000000001000110001100010000000011001000001010110000101011000000101!2, diff = 0
(1/36)base SQRT3  00000.000000100101100010011000010010010100100000101100000001000010010000010100001!2, diff = 0
(1/37)base SQRT3  00000.000000100101000100000010011000100101000101001010011000001100000011000000101!2, diff = 0
(1/38)base SQRT3  00000.000000100100100000010101010010010101010000000100000001000110001000010101001!2, diff = 0
(1/39)base SQRT3  00000.000000100100000011000010001000010100010100001100001010101001010011001000101!2, diff = 0
(1/40)base SQRT3  00000.000000100010101100100001100000100010010010101000000000000100001000110001001!2, diff = 0

integers
(1)base   SQRT3   00001.00000000000000000000000000000000000000000000000000000000000000000011!2, diff = 0
(2)base   SQRT3   00010.001010001100000010010000100000100010100101000000001100000101000001!2, diff = 0
(3)base   SQRT3   00100.000000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
(4)base   SQRT3   00101.00000000000000000000000000000000000000000000000000000000000000011!2, diff = 0
(5)base   SQRT3   00110.00101000110000001001000010000010001010010100000000110000010100101!2, diff = 0
(6)base   SQRT3   01000.10100011000000100100001000001000101001010000000011000001010000101!2, diff = 0
(7)base   SQRT3   01010.00001000100001000100100010000010000010011001000100100000101010101!2, diff = 0
(8)base   SQRT3   01011.0000100010000100010010001000001000001001100100010010000010101101!2, diff = 0
(9)base   SQRT3   10000.0000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
(10)base   SQRT3  10001.0000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
(11)base   SQRT3  10010.0010100011000000100100001000001000101001010000000011000001100001!2, diff = 0
(12)base   SQRT3  10100.0000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
(13)base   SQRT3  10101.0000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
(14)base   SQRT3  10110.0010100011000000100100001000001000101001010000000011000001100001!2, diff = 0
(15)base   SQRT3  11000.1010001100000010010000100000100010100101000000001100000101001001!2, diff = 0
(16)base   SQRT3  11010.000010001000010001001000100000100000100110010001001000001100111!2, diff = 0
(17)base   SQRT3  11011.000010001000010001001000100000100000100110010001001000001011011!2, diff = 0
(18)base   SQRT3  !20000.000000000000000000000000000000000000000000000000000000000001011!2, diff = 0
(19)base   SQRT3  !20001.000000000000000000000000000000000000000000000000000000000001011!2, diff = 0
(20)base   SQRT3  !20010.001010001100000010010000100000100010100101000000001100001000011!2, diff = 0
Base SQRT3 encoding for Phi    00001.10000100001011000001001010010010000011000101011000100110000001011011!2, diff = 0
Base SQRT3 encoding for Phi^2  00010.101100000100100100001001001001000000110000001000010000110001000001!2, diff = 0
Base SQRT3 encoding for Phi^3  00101.00100100011000001000000010110010000010101010110000010011000110001!2, diff = 0
Base SQRT3 encoding for Phi^4  01001.10001001001100101000001001000000101100001010101000100001000110001!2, diff = 0
Base SQRT3 encoding for Phi^5  10010.0100001000101001011000010000100000000100010000010001010100010101!2, diff = 0
Base SQRT3 encoding for Phi^6  11100.100101100000101100100000000000000101001000010001010000100000011!2, diff = 0
Base SQRT3 encoding for E      00010.110010001100000100000001000001001000000101100011001001000101100101!2, diff = 0
Base SQRT3 encoding for E^2    01010.01010001001100100100000000010100000000000101000001010101010000101!2, diff = 0
Base SQRT3 encoding for E^E    11000.1100010010101000100000110001100100011000100001010000100101100001!2, diff = 0
Base SQRT3 encoding for PI     00100.000100101001010011000001010001100011000001011000100000000100100001!2, diff = 0
Base SQRT3 encoding for SQRT2  00001.01001001010000100000001100001010000000000100001100001100010101001011!2, diff = 0
Base SQRT3 encoding for SQRT3  00010.00000000000000000000000000000000000000000000000000000000000000000011!2, diff = 0
Base SQRT3 encoding for SQRT5  00010.010101100000101010000101010100001001010101010001000001001000100101!2, diff = 0
Base SQRT3 encoding for SQRT6  00010.100100101000010000000110000101000000000010000110000110001010100001!2, diff = 0
Base SQRT3 encoding for 5dot9  01000.10010001001001010100001001010001000101010100001001010000001010101!2, diff = 0
Base SQRT3 encoding for 6dot9  01001.10010001001001010100001001010001000101010100001001010000001010101!2, diff = 0
Base SQRT3 encoding for m235   00010.110000100011000100010010001010110010001001000010110000000110010001!2, diff = 0
Base SQRT3 encoding for Geo2   00001.00100001000110001100010101011000010000100101001010110001010001010011!2, diff = 0
Base SQRT3 encoding for Geo-2  00110.00001010101011001000000100001000011001000000100100001011000100001!2, diff = 0
Base SQRT3 encoding for Geo3   00001.01000010110000000100101011001010000100101000001001001010010000101011!2, diff = 0
Base SQRT3 encoding for Geo-3  00011.000000000000000000000000000000000000000000000000000000000000000101!2, diff = 0
Base SQRT3 encoding for Geo7   00010.00001010010010101010000101100100010100000010001100000010110001100011!2, diff = 0
Base SQRT3 encoding for Geo-7  00001.00100010000100000010110000101001000001000000001000101100100100010011!2, diff = 0
Base SQRT3 encoding for 7dot9  01010.11000110001000100100000100001010101010101000010010100000101010101!2, diff = 0
