Inverses and integers in base SQRT6
(1/1)base SQRT6   00001.000000000000000000000000000000000001, diff = -9.769962616701378e-15
(1/2)base SQRT6   00000.101020010200000112011000202010101100, diff = -3.219646771412954e-15
(1/3)base SQRT6   00000.020000000000000000000000000000000000, diff = -1.1102230246251565e-16
(1/4)base SQRT6   00000.011010200102000001120110002020101011, diff = -6.106226635438361e-16
(1/5)base SQRT6   00000.010101010101010101010101010101010102, diff = -7.965850201685498e-15
(1/6)base SQRT6   00000.010000000000000000000000000000000000, diff = -5.551115123125783e-17
(1/7)base SQRT6   00000.002001100120210000020021000101020100, diff = -8.909539772616881e-15
(1/8)base SQRT6   00000.001200012000000210001111002001202011, diff = -1.3877787807814457e-15
(1/9)base SQRT6   00000.001110200102000001120110002020101011, diff = -6.106226635438361e-16
(1/10)base SQRT6  00000.001100201011102001102020200011201201, diff = -3.2335245592207684e-15
(1/11)base SQRT6  00000.001020000110011120020010200100201011, diff = -7.91033905045424e-15
(1/12)base SQRT6  00000.001010200102000001120110002020101011, diff = -5.967448757360216e-16
(1/13)base SQRT6  00000.001001201101012012010002012012010001, diff = -1.762479051592436e-15
(1/14)base SQRT6  00000.001000112012000001111020110110200120, diff = -6.661338147750939e-15
(1/15)base SQRT6  00000.000202020202020202020202020202021000, diff = -2.9698465908722937e-15
(1/16)base SQRT6  00000.000201101020010200000112011000202011, diff = -4.9404924595819466e-15
(1/17)base SQRT6  00000.000200111201110011011002010120201011, diff = -5.342948306008566e-16
(1/18)base SQRT6  00000.000200000000000000000000000000000000, diff = -3.469446951953614e-17
(1/19)base SQRT6  00000.000120100201010120001202020100011100, diff = -6.106226635438361e-16
(1/20)base SQRT6  00000.000112020011011020112002001201020100, diff = -3.6637359812630166e-15
(1/21)base SQRT6  00000.000111200011121000100120002020000001, diff = -5.127842594987442e-15
(1/22)base SQRT6  00000.000111020101110201101110001020101200, diff = -2.942091015256665e-15
(1/23)base SQRT6  00000.000110201200020102011201201001120110, diff = -1.2490009027033011e-15
(1/24)base SQRT6  00000.000110102001020000011201100020201011, diff = -4.3021142204224816e-15
(1/25)base SQRT6  00000.000110010020011011001120100102001120, diff = -3.989863994746656e-15
(1/26)base SQRT6  00000.000102012001000210002100020000000111, diff = -3.3306690738754696e-15
(1/27)base SQRT6  00000.000102000000000000000000000000000000, diff = -2.7755575615628914e-17
(1/28)base SQRT6  00000.000101112000111210001001200020200001, diff = -9.083012120214562e-15
(1/29)base SQRT6  00000.000101100110010100100100001121000011, diff = -8.652800698172314e-15
(1/30)base SQRT6  00000.000101010101010101010101010101010102, diff = -7.896461262646426e-15
(1/31)base SQRT6  00000.000100202010200001202011201101021001, diff = -6.7584826624056404e-15
(1/32)base SQRT6  00000.000100120001200000021000111100200200, diff = -1.915134717478395e-15
(1/33)base SQRT6  00000.000100102000011001112002001020010100, diff = -6.113165529342268e-15
(1/34)base SQRT6  00000.000100020011120111001101100201012100, diff = -5.9119376061289586e-15
(1/35)base SQRT6  00000.000100010001000100010001000100010002, diff = -9.579143034343929e-15
(1/36)base SQRT6  00000.000100000000000000000000000000000000, diff = -1.734723475976807e-17
(1/37)base SQRT6  00000.000020201120200011020111110001110101, diff = -3.2612801348363973e-16
(1/38)base SQRT6  00000.000020120110202020120011120210000100, diff = -2.706168622523819e-15
(1/39)base SQRT6  00000.000020110201201201020112001110110120, diff = -5.405398351143731e-15
(1/40)base SQRT6  00000.000020101020100101101001000010002100, diff = -5.027228633380787e-15

integers
(1)base   SQRT6   00001.000000000000000000000000000000000001, diff = -9.769962616701378e-15
(2)base   SQRT6   00002.000000000000000000000000000000000001, diff = -9.769962616701378e-15
(3)base   SQRT6   00010.102001020000011201100020201010102020, diff = -2.6645352591003757e-15
(4)base   SQRT6   00011.102001020000011201100020201010102020, diff = -2.6645352591003757e-15
(5)base   SQRT6   00020.001101001121001002011020010111110200, diff = -2.6645352591003757e-15
(6)base   SQRT6   00100.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(7)base   SQRT6   00101.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(8)base   SQRT6   00102.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(9)base   SQRT6   00110.102001020000011201100020201010102020, diff = -3.552713678800501e-15
(10)base   SQRT6  00111.102001020000011201100020201010102020, diff = -3.552713678800501e-15
(11)base   SQRT6  00120.001101001121001002011020010111110200, diff = -5.329070518200751e-15
(12)base   SQRT6  00200.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(13)base   SQRT6  00201.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(14)base   SQRT6  00202.000000000000000000000000000000000001, diff = -8.881784197001252e-15
(15)base   SQRT6  01000.012000000210001111002001202010200120, diff = -5.329070518200751e-15
(16)base   SQRT6  01001.012000000210001111002001202010200120, diff = -7.105427357601002e-15
(17)base   SQRT6  01002.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(18)base   SQRT6  01010.200102000001120110002020101010202000, diff = -7.105427357601002e-15
(19)base   SQRT6  01011.200102000001120110002020101010202000, diff = -7.105427357601002e-15
(20)base   SQRT6  01020.021000110002001201200100110101002020, diff = -3.552713678800501e-15
(21)base   SQRT6  01100.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(22)base   SQRT6  01101.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(23)base   SQRT6  01102.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
